season,weekend,time_of_day,dew_point,GPS_KMH_MEAN,GPS_KMH_MAX,GPS_KMH_MIN,GPS_DIR_MEAN,GPS_DIR_MAX,GPS_DIR_MIN,GPS_ALT_MEAN,GPS_ALT_MAX,GPS_ALT_MIN,BM_H_MEAN,BM_H_MAX,BM_H_MIN,BM_P_MEAN,BM_P_MAX,BM_P_MIN,BM_T_MEAN,BM_T_MAX,BM_T_MIN,DS_T_MEAN,DS_T_MAX,DS_T_MIN,PM10_MAX,PM10_MIN,NUM_MEASUREMENTS,PM10_MEAN,PM10_ARPA
spring,weekday,night,-4.520648837175708,23.518333333333334,37.08,0.17,163.65,262.72,66.86,26.96666666666667,29.2,25.4,24.66,26.28,23.05,1023.7116666666667,1024.54,1022.78,15.645000000000001,15.98,15.3,8.895000000000001,9.56,8.25,8.5,3.2,6,5.383333333333333,5.17
spring,weekday,night,3.9925956808954246,21.16,22.76,19.56,72.66,75.18,70.14,10.65,11.4,9.9,46.635000000000005,46.68,46.59,1017.255,1017.36,1017.15,15.36,15.37,15.35,11.69,11.69,11.69,11.4,10.1,2,10.75,11.79
spring,weekday,morning,4.00905737869847,14.83,22.34,1.78,226.17666666666665,251.4,176.71,25.766666666666666,28.8,20.3,45.44,45.46,45.41,1015.9366666666666,1016.16,1015.7,15.783333333333331,15.79,15.78,11.563333333333333,11.63,11.5,19.5,16.4,3,17.933333333333334,8.63
spring,weekday,night,3.0542579574191606,34.65,38.65,32.35,193.93999999999997,256.25,73.25,18.433333333333334,23.0,15.8,33.126666666666665,33.96,31.49,1011.1133333333333,1012.15,1010.44,19.733333333333334,20.49,19.34,11.416666666666666,12.75,10.75,9.6,8.6,3,9.033333333333333,3.99
spring,weekday,night,3.29743794085576,25.5625,40.37,2.43,161.6525,254.05,68.65,32.775,57.1,9.6,38.644999999999996,39.57,37.73,1011.0174999999999,1011.97,1010.04,17.545,18.02,17.07,10.3,10.69,9.88,14.7,8.5,4,10.35,4.78
spring,weekday,morning,5.567962574350554,13.440000000000001,24.84,0.06,191.69,263.52,72.44,22.48,24.5,20.9,44.552,46.05,43.55,1001.558,1002.26,1000.94,17.808,18.2,17.23,13.878,14.13,13.5,5.4,3.7,5,4.5200000000000005,1.08
spring,weekday,morning,5.062877871743922,21.402,29.82,0.44,105.77799999999999,248.87,55.78,23.939999999999998,43.8,16.4,39.209999999999994,39.51,38.26,1001.6380000000001,1002.09,1000.61,19.288,19.76,19.16,14.876,15.5,14.69,5.2,3.8,5,4.36,2.3
spring,weekday,night,9.652507021600655,35.04,35.04,35.04,74.18,74.18,74.18,17.3,17.3,17.3,64.47,64.47,64.47,1005.74,1005.74,1005.74,16.37,16.37,16.37,15.19,15.19,15.19,1.2,1.2,1,1.2,3.85
spring,weekday,night,9.975664849765081,24.655,33.32,2.02,164.43,256.05,73.69,22.775,31.6,16.6,58.3725,59.79,56.97,1005.1175000000001,1006.52,1003.57,18.285,19.02,17.55,15.015,15.5,14.5,2.5,0.6,4,1.675,4.11
spring,weekday,night,9.692850323897215,13.802727272727275,31.95,0.09,197.69000000000003,265.33,60.05,43.0,55.9,30.3,51.50909090909091,53.25,50.04,1006.0654545454545,1006.61,1004.95,19.98818181818182,20.24,19.51,16.072727272727274,16.37,15.44,9.0,0.4,11,2.4727272727272727,3.35
spring,weekday,morning,9.374296396703809,16.02,31.34,1.67,176.56,261.89,62.34,37.271428571428565,43.6,31.9,48.08142857142857,48.14,48.02,1007.2042857142858,1007.59,1006.75,20.757142857142856,20.81,20.72,16.51857142857143,17.0,16.12,4.9,0.5,7,2.2714285714285714,4.65
spring,weekday,morning,9.625490692833486,20.064444444444444,37.45,0.04,152.02333333333334,257.22,66.85,16.866666666666667,32.5,-0.4,45.66888888888889,47.83,44.77,1007.7822222222223,1008.48,1006.99,21.87222222222222,22.35,21.39,17.526666666666667,18.06,16.81,32.1,1.0,9,9.68888888888889,4.58
spring,weekday,morning,9.065762213699621,13.162857142857144,28.59,0.06,174.98142857142855,252.63,70.78,34.357142857142854,42.8,27.1,43.36,43.76,42.87,1008.1414285714285,1009.07,1007.33,22.10571428571429,22.18,22.05,17.231428571428573,17.5,17.0,12.0,0.9,7,3.585714285714286,13.29
spring,weekday,morning,9.06117915297841,16.901111111111113,30.3,0.07,210.64777777777778,254.74,70.92,29.65555555555555,60.8,4.8,42.26777777777777,43.01,41.55,1009.0255555555555,1009.99,1008.42,22.52,22.69,22.25,17.84,18.12,17.5,7.7,1.0,9,4.888888888888889,21.88
